ca	en	es	kind	flag	source
la sopa	soup		frase		beveradb-1000
la sortida	departure		frase		beveradb-1000
la talla	size		frase		beveradb-1000
la tarda	afternoon		frase		beveradb-1000
la tardor	autumn		frase		beveradb-1000
la targeta	card		frase		beveradb-1000
la tarifa	tariff		frase		beveradb-1000
la taronja	orange (fruit/color)		frase		beveradb-1000
la tauleta	bedside table		frase		beveradb-1000
la tempesta	storm		frase		beveradb-1000
la temporada	season		frase		beveradb-1000
la terrassa	terrace		frase		beveradb-1000
la tonyina	tuna		frase		beveradb-1000
la tornada	return journey		frase		beveradb-1000
la tovallola	towel		frase		beveradb-1000
la transferència	(bank) transfer		frase		beveradb-1000
la truita	omelette		frase		beveradb-1000
la universitat	university		frase		beveradb-1000
la vaca	cow		frase		beveradb-1000
la venda	sales		frase		beveradb-1000
la veritat	truth		frase		beveradb-1000
la vista al mar	ocean view		frase		beveradb-1000
laborable	working		mot		beveradb-1000
lampista	plumber		mot		beveradb-1000
les cargols	escargot, snail		frase		beveradb-1000
les mongetes	beans		frase		beveradb-1000
les postres	dessert		frase		beveradb-1000
les ulleres	glasses		frase		beveradb-1000
li	to him/her/you		mot		beveradb-1000
liest liesta	clever, bright		frase		beveradb-1000
llarg llarga	large		frase		beveradb-1000
llegir	to read		mot		beveradb-1000
llegir un llebre	to read a book		frase		beveradb-1000
llevar-se	to wake up		mot		beveradb-1000
llicenciat llicenciada	graduate		frase		beveradb-1000
lliure	free		mot		beveradb-1000
llogar	to rent		mot		beveradb-1000
lluny	far		mot		beveradb-1000
Londres	London		mot		beveradb-1000
m'acompanyes?	will you come with me?		mot		beveradb-1000
m'és igual	I don't care		frase		beveradb-1000
maco maca	attractive. nice		frase		beveradb-1000
madur madura	ripe		frase		beveradb-1000
mai	never		mot		beveradb-1000
maig	May		mot		beveradb-1000
malament	badly		mot		beveradb-1000
maquillar-se	to put on make-up		mot		beveradb-1000
marró	brown		mot		beveradb-1000
març	March		mot		beveradb-1000
massa	too much		mot		beveradb-1000
mateix mateixa	same		frase		beveradb-1000
menjar	to eat		mot		beveradb-1000
mestre mestra	teacher		frase		beveradb-1000
metge metgessa	doctor		frase		beveradb-1000
mig mitja	half		frase		beveradb-1000
mil / milè	1000 thousandth		frase		beveradb-1000
milió / milionè	1000000 millionth		frase		beveradb-1000
millor	better best		mot		beveradb-1000
mirar	to look at		mot		beveradb-1000
mirar la televisió	to watch television		frase		beveradb-1000
molt	very		mot		beveradb-1000
molt de gust	nice to meet you		frase		beveradb-1000
muntar	to assemble		mot		beveradb-1000
més aviat	tending to be		frase		beveradb-1000
n'hi ha una	there is one		frase		beveradb-1000
nebot neboda	nephew, niece		frase		beveradb-1000
necessari	necessary		mot		beveradb-1000
necessito	I need		mot		beveradb-1000
nedar	to swim		mot		beveradb-1000
negre negra	black		frase		beveradb-1000
netejar la casa	to clean the house		frase		beveradb-1000
neva	it's snowing		mot		beveradb-1000
ningú	nobody no one		mot		beveradb-1000
no fumador	non-smoking		frase		beveradb-1000
no hi fa res	it doesn't matter		frase		beveradb-1000
no ho sé	I don't know		frase		beveradb-1000
no m'agrada	I don't like it		frase		beveradb-1000
no oblideu	don't forget		frase		beveradb-1000
no prenguis	don't ask		frase		beveradb-1000
no...ni	neither… nor		mot		beveradb-1000
només	only		mot		beveradb-1000
noranta / norantà	90 ninetieth		frase		beveradb-1000
normalament em llevo a les set.	I normally get up at seven.		frase		beveradb-1000
normalment	normally		mot		beveradb-1000
nosaltres	we		mot		beveradb-1000
nou / novè novena	9 ninth		frase		beveradb-1000
Nova York	New York		frase		beveradb-1000
novembre	November		mot		beveradb-1000
no… gaire	not very much		frase		beveradb-1000
no… gens	not at all		frase		beveradb-1000
no… gens ni mica	not one tiny bit		frase		beveradb-1000
néixar	to be born		mot		beveradb-1000
o sigui	that is		frase		beveradb-1000
obert oberta	open		frase		beveradb-1000
obligatori	obligatory		mot		beveradb-1000
obren	they open		mot		beveradb-1000
octubre	October		mot		beveradb-1000
ocupat ocupada	busy		frase		beveradb-1000
oh I tant!	of course!		frase		beveradb-1000
oi?	right?		mot		beveradb-1000
on	where		mot		beveradb-1000
on vius? on viu?	where do you live?		frase		beveradb-1000
on és	where is		frase		beveradb-1000
onze	eleven		mot		beveradb-1000
onze / onzè	11 eleventh		frase		beveradb-1000
oposar-se	to object		mot		beveradb-1000
paga en efectiu o amb targeta?	cash or card?		frase		beveradb-1000
pagar	to pay for		mot		beveradb-1000
paleta	builder		mot		beveradb-1000
parar	to stop		mot		beveradb-1000
parar el sol	to sunbathe		frase		beveradb-1000
parar la taula	to set the table		frase		beveradb-1000
pasar estona	to spend time		frase		beveradb-1000
passar	to happen		mot		beveradb-1000
passar a + inf	to go and…		frase		beveradb-1000
passi-ho bé	goodbye (f)		frase		beveradb-1000
patir	to suffer		mot		beveradb-1000
pel meu gust	to my taste		frase		beveradb-1000
pel que fa a…	about…		frase		beveradb-1000
pensar	to think		mot		beveradb-1000
pensar + inf	to intend to		frase		beveradb-1000
penso que…	I think that…		frase		beveradb-1000
pentinar-se	to do one's hair		mot		beveradb-1000
per	by, for, through, along		mot		beveradb-1000
per a	for		frase		beveradb-1000
per cert	by the way		frase		beveradb-1000
per favor	please		frase		beveradb-1000
per molts anys!	happy birthday!		frase		beveradb-1000
per postres	on top of that		frase		beveradb-1000
per què?	why?		frase		beveradb-1000
per sort	by chance, fortunately		frase		beveradb-1000
perdona perdoni	excuse me		frase		beveradb-1000
perdre	to lose		mot		beveradb-1000
perfecte	perfect		mot		beveradb-1000
periodista	journalist		mot		beveradb-1000
perquè	because		mot		beveradb-1000
perruquer perruquera	hairdresser		frase		beveradb-1000
però	but		mot		beveradb-1000
pescar	to fish		mot		beveradb-1000
petit petita	small		frase		beveradb-1000
pintor pintora	painter		frase		beveradb-1000
planxar la roba	to iron clothes		frase		beveradb-1000
ple plena	full		frase		beveradb-1000
plegar	to finish (work)		mot		beveradb-1000
plegar de la feina	to leave work		frase		beveradb-1000
plego tard.	I finish late.		frase		beveradb-1000
plou	it's raining		mot		beveradb-1000
ploure	to rain		mot		beveradb-1000
pobre pobra	poor		frase		beveradb-1000
poc sovint	not much		frase		beveradb-1000
poder	to be able to		mot		beveradb-1000
portar	to wear		mot		beveradb-1000
posar a prova	to test		frase		beveradb-1000
posar-se	to put on clothes		mot		beveradb-1000
posar-se al telèfon	to come to the phone		frase		beveradb-1000
pots anar	you can go		frase		beveradb-1000
preciós preciosa	beautiful		frase		beveradb-1000
preocupat preocupada	worried		frase		beveradb-1000
prim prima	slim, thin		frase		beveradb-1000
primera o segona classe?	first or second class?		frase		beveradb-1000
professor professora	teacher lecturer		frase		beveradb-1000
prometre	to promise		mot		beveradb-1000
prop	close		mot		beveradb-1000
prou!	of course!		mot		beveradb-1000
provar	to taste		mot		beveradb-1000
pujar per	to go up		frase		beveradb-1000
pèl-roig roja	red-haired		frase		beveradb-1000
quan	when		mot		beveradb-1000
quan plegues de treballar?	when do you finish work?		frase		beveradb-1000
quant dura?	how long does it take?		frase		beveradb-1000
quant? quanta?	how much?		frase		beveradb-1000
quants anys tens?	how old are you?		frase		beveradb-1000
quants germans té?	how many siblings do you have?		frase		beveradb-1000
quants? quantes?	how many?		frase		beveradb-1000
quaranta / quarantè	40 fortieth		frase		beveradb-1000
quart val?	how much is it?		frase		beveradb-1000
quatre / quart quarta	4 fourth		frase		beveradb-1000
que	which that		mot		beveradb-1000
que + adj	how + adj		frase		beveradb-1000
que no	no		frase		beveradb-1000
quedar	to be suitable		mot		beveradb-1000
queder	to be left, to remain		mot		beveradb-1000
qui	who		mot		beveradb-1000
qui és ara? a qui toca?	who's next?		frase		beveradb-1000
qui?	who?		mot		beveradb-1000
quin horari fan?	what are the opening hours?		frase		beveradb-1000
quin? quina? quins? quines?	which?		frase		beveradb-1000
quina adreça tens/té?	what's your address?		frase		beveradb-1000
quina senyora és aquesta?	which lady is this?		frase		beveradb-1000
quins llibresa tens?	which books do you have?		frase		beveradb-1000
quinze / quinzè	15 fifteenth		frase		beveradb-1000
què	??? (introduces a question)		mot	placeholder-gloss	beveradb-1000
què en penses de…?	what do you think of...?		frase		beveradb-1000
què estàs fent?	what are you doing?		frase		beveradb-1000
què et sembla de quedar?	what do you think about meeting?		frase		beveradb-1000
què et sembla?	what do you think about?		frase		beveradb-1000
què fas (ara)?	what are you doing (now)?		frase	optional-part	beveradb-1000
què li fa falta?	what do you need?		frase		beveradb-1000
què voldria?	what would you like?		frase		beveradb-1000
què voleu prendre?	what do you want to drink?		frase		beveradb-1000
què vols?	what do you want? (inf)		frase		beveradb-1000
què?	what?		mot		beveradb-1000
receptar, presciure	to prescribe		frase		beveradb-1000
redistribuir	to rearrange		mot		beveradb-1000
reemborsable	refundable		mot		beveradb-1000
rentar la roba	to wash clothes		frase		beveradb-1000
rentar-se les dents	to brush one's teeth		frase		beveradb-1000
rentar-se les mans	to wash one's hands		frase		beveradb-1000
res	anything nothing		mot		beveradb-1000
res més?	anything else?		frase		beveradb-1000
reservar	to reserve		mot		beveradb-1000
riure	to laugh		mot		beveradb-1000
roig roija	red		frase		beveradb-1000
ros rossa	fair-haired		frase		beveradb-1000
rosa	pink		mot		beveradb-1000
ràpid ràpida	fast		frase		beveradb-1000
s'equivoca (vostè)	you are wrong		frase	optional-part	beveradb-1000
saber	know, can		mot		beveradb-1000
salat salada	salty		frase		beveradb-1000
salut!xin-xin!	cheers! (beverage)		mot		beveradb-1000
salvatge	wild		mot		beveradb-1000
sang	blood		mot		beveradb-1000
saps?	do you know?		mot		beveradb-1000
secretari secretària	secretary		frase		beveradb-1000
seguir per	to follow		frase		beveradb-1000
segur segura	safe, secure		frase		beveradb-1000
seixanta / seixantè	60 sixtieth		frase		beveradb-1000
semblar	to seem		mot		beveradb-1000
sempre	always		mot		beveradb-1000
sens dubte	definitely		frase		beveradb-1000
sense	without		mot		beveradb-1000
senyor, senyora	sir, ma´am		frase		beveradb-1000
senzill senzilla	simple		frase		beveradb-1000
ser	to be		mot		beveradb-1000
set / setè setena	7 seventh		frase		beveradb-1000
setanta / setantà	70 seventieth		frase		beveradb-1000
setembre	September		mot		beveradb-1000
setze / setzè	16 sixteenth		frase		beveradb-1000
seure	to sit down		mot		beveradb-1000
simpàtic simpàtica	nice		frase		beveradb-1000
sis / sisè sisena	6 sixth		frase		beveradb-1000
sobre	about, above		mot		beveradb-1000
sol sola	alone		frase		beveradb-1000
solter	single, unmarried		mot		beveradb-1000
sorprès sorpresa	surprised		frase		beveradb-1000
sortint	leaving		mot		beveradb-1000
sortir	to leave, to appear		mot		beveradb-1000
sortir am amics	to go out with friends		frase		beveradb-1000
sortir de la feina	to leave work		frase		beveradb-1000
sota	below		mot		beveradb-1000
sovint	often		mot		beveradb-1000
sé que	sure		frase		beveradb-1000
sí, exacte	yes, exactly		frase		beveradb-1000
sóc	I am		mot		beveradb-1000
sóc de Berlín	I am from Berlin		frase		beveradb-1000
són dos quarts de vuit	half past seven		frase		beveradb-1000
també	also		mot		beveradb-1000
tampoc	neither		mot		beveradb-1000
tan + adj	so…		frase		beveradb-1000
tancat tancada	closed		frase		beveradb-1000
tanquen	they close		mot		beveradb-1000
tanquen al migdia.	they close at midday.		frase		beveradb-1000
tant	so much		mot		beveradb-1000
tan… com	as… as		frase		beveradb-1000
taronja	orange (color)		mot		beveradb-1000
tenim obert fins a les…	we are open until…		frase		beveradb-1000
tenir	to have		mot		beveradb-1000
tenir calor	to feel hot		frase		beveradb-1000
tenir fam	to be hungry		frase		beveradb-1000
tenir febre	to have a fever		frase		beveradb-1000
tenir fred	to feel cold		frase		beveradb-1000
tenir gana	to feel hungry		frase		beveradb-1000
tenir ganes de	to want to		frase		beveradb-1000
tenir mandra	to feel lazy		frase		beveradb-1000
tenir raó	to be right		frase		beveradb-1000
tenir set	to feel thirsty		frase		beveradb-1000
tenir son	to feel sleepy		frase		beveradb-1000
tenir … anys	be … years old		frase		beveradb-1000
tinc … anys.	I'm … years old.		frase		beveradb-1000
toca a ella.	it's her turn.		frase		beveradb-1000
tocar	to touch, to play an instrument		mot		beveradb-1000
tombar	to fall		mot		beveradb-1000
tornar a + inf	to (verb) again		frase		beveradb-1000
tornar a casa	to go home		frase		beveradb-1000
tot	everything		mot		beveradb-1000
tot dret	straight ahead		frase		beveradb-1000
tot I que	although		frase		beveradb-1000
tot plegat	altogether		frase		beveradb-1000
tot tota	all		frase		beveradb-1000
tothom	everybody everyone		mot		beveradb-1000
tots dos	both		frase		beveradb-1000
tractar-se	to be about		mot		beveradb-1000
travessar	to cross		mot		beveradb-1000
trencar	to break		mot		beveradb-1000
trenta / trentè	30 thirtieth		frase		beveradb-1000
tres / tercer tercera	3 third		frase		beveradb-1000
tretze / tretzè	13 thirteenth		frase		beveradb-1000
treure	to withdraw		mot		beveradb-1000
treure diner	to withdraw money		frase		beveradb-1000
trist trista	sad		frase		beveradb-1000
trobar	to find		mot		beveradb-1000
trobo que…	I find that…		frase		beveradb-1000
trona	it's thundering		mot		beveradb-1000
truca	you call		mot		beveradb-1000
tu	you (inf-s)		mot		beveradb-1000
tu ets	you are		frase		beveradb-1000
té	he has		mot		beveradb-1000
tímid tímida	shy		frase		beveradb-1000
u un una / primer primera	1 first		frase		beveradb-1000
un amic	a friend (m)		frase		beveradb-1000
un cop	once		frase		beveradb-1000
un cop a la/per setmana	once a week		frase		beveradb-1000
un dineral	piles of money		frase		beveradb-1000
un quart de deu	quarter past nine		frase		beveradb-1000
una amiga	a friend (f)		frase		beveradb-1000
una mica	a little		frase		beveradb-1000
una mica menys	a little less		frase		beveradb-1000
una vegada al mes	once a month		frase		beveradb-1000
unió europea	european union		frase		beveradb-1000
us	to you (inf. pl.)		mot		beveradb-1000
us fa res	do you mind…		frase		beveradb-1000
us l'ensenyo	i'll show you		frase		beveradb-1000
val	(it) costs		mot		beveradb-1000
valent valenta	brave		frase		beveradb-1000
vella	old		mot		beveradb-1000
venen	they sell		mot		beveradb-1000
venir	to come		mot		beveradb-1000
venir de gust	to appeal		frase		beveradb-1000
verd verda	green unripe		frase		beveradb-1000
vermell vermella	red		frase		beveradb-1000
vestir-se	to get dressed		mot		beveradb-1000
veí veïna	neighbor		frase		beveradb-1000
viatjar	to travel		mot		beveradb-1000
vint / vintè	20 twentieth		frase		beveradb-1000
visc a	I live in		frase		beveradb-1000
viu s'està	he lives		frase		beveradb-1000
viure	to live		mot		beveradb-1000
viviu	you live		mot		beveradb-1000
voldria	i'd like		mot		beveradb-1000
voldria reservar una habitació sisplau.	i'd like to book a room please.		frase		beveradb-1000
voldria un bitllet per a (lloc) pel (dia)	I would like a ticket to (place) for (day).		frase	optional-part	beveradb-1000
voldria una barra de quart sisplau.	I would like a baguette please.		frase		beveradb-1000
voler	to want to		mot		beveradb-1000
voltar	to travel around		mot		beveradb-1000
vosaltres	you (inf-pl)		mot		beveradb-1000
vostè	you (f-s)		mot		beveradb-1000
vostè és	you are		frase		beveradb-1000
vostès	you (f-pl)		mot		beveradb-1000
vuit / vuitè	8 eighth		frase		beveradb-1000
vuitanta	eighty		mot		beveradb-1000
vuitanta / vuitantè	80 eightieth		frase		beveradb-1000
vuitè vuitena	eighth		frase		beveradb-1000
vull	I want		mot		beveradb-1000
vull un paquet de sucre sisplau.	I would like a bag of sugar please.		frase		beveradb-1000
vull una habitació doble/individual.	I'd like a double/single room.		frase		beveradb-1000
xerrar	to chat		mot		beveradb-1000
zero	0 zero		mot		beveradb-1000
és	it is		mot		beveradb-1000
és a	it is (in/at)		frase		beveradb-1000
és clar!	of course!		frase		beveradb-1000
és que	the fact is that		frase		beveradb-1000
