ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
els peus de porc	los pies de cerdo	als-PEUS-da-PORC	pig's trotters	frase					beveradb-1000
els texans	los tejanos / los vaqueros	als-ta-SHANS	jeans	mot					beveradb-1000
em	me		to me	mot					beveradb-1000
em dic	me llamo		my name is	frase					beveradb-1000
em fa estar	me hace estar	am-fas-TÁ	makes me feel	frase					beveradb-1000
em sap greu	lo siento / me sabe mal		I am sorry	frase					beveradb-1000
em sembla que...	me parece que...	am-SAM-bla-ca	it seems to me that…	frase					beveradb-1000
emprovar-se	probarse	am-pru-VAR-sa	to try on	mot					beveradb-1000
en	(partitivo, sin traducción directa)		some	mot					beveradb-1000
en canvi	en cambio		on the other hand	frase	cognat				beveradb-1000
un llenguado a la planxa	un lenguado a la plancha	un-llan-gu-A-du-a-la-PLAN-sha	grilled sole	frase			Typo, 'en' for 'un'.		beveradb-1000
encantat / encantada	encantado / encantada	an-can-TAT / an-can-TA-da	nice to meet you	frase	cognat		Normalised m/f pair.		beveradb-1000
encara	todavía / aún	an-CA-ra	still	mot					beveradb-1000
encara no	todavía no / aún no	an-CA-ra-no	not yet	frase					beveradb-1000
endarrere	hacia atrás	an-da-RRE-ra	backwards	mot					beveradb-1000
endavant	adelante	an-da-BAN	forward	mot					beveradb-1000
endur-se	llevarse	an-DUR-sa	to take away	mot					beveradb-1000
enfadat / enfadada	enfadado / enfadada	an-fa-DAT / an-fa-DA-da	angry	mot	cognat		Normalised m/f pair.		beveradb-1000
enfeinat / enfeinada	atareado / ocupado	an-fai-NAT / an-fai-NA-da	busy	mot			Normalised m/f pair.		beveradb-1000
enguany	este año	an-GUAÑ	this year	mot					beveradb-1000
enhorabona	enhorabuena	a-no-ra-BO-na	congratulations	mot	cognat				beveradb-1000
ens	nos		to us	mot					beveradb-1000
ensenyar	enseñar	an-sa-ÑÁ	to teach	mot	cognat				beveradb-1000
entesos	entendido / de acuerdo	an-TE-zos	ok	frase					beveradb-1000
entrar a la feina	entrar a trabajar / empezar a trabajar	an-TRÁ a la FEI-na	to start work	frase					beveradb-1000
entre	entre		between	mot	cognat				beveradb-1000
enviar	enviar		to send	mot	cognat				beveradb-1000
es fa el canvi	se hace el cambio		one changes	frase					beveradb-1000
escalar	escalar	as-ca-LÁ	to climb	mot	cognat				beveradb-1000
escocès / escocesa	el escocés / la escocesa	as-cu-SÈS / as-cu-SE-za	Scottish	mot			misspelled feminine form		beveradb-1000
escollir	escoger	as-cu-LLÍ	to choose	mot					beveradb-1000
escoltar música	escuchar música	as-cul-TÁ MÚ-zi-ca	to listen to music	frase	cognat				beveradb-1000
espantat / espantada	asustado / asustada		frightened	mot					beveradb-1000
espanyol	el español		Spanish	mot	cognat				beveradb-1000
esperar-se	esperar	as-pa-RÁ-sa	to expect	mot	cognat				beveradb-1000
espero	espero	as-PE-ru	I'm waiting for	mot	cognat				beveradb-1000
esquerre / esquerra	izquierdo / izquierda		left	mot					beveradb-1000
estar	estar	as-TÁ	to be	mot	cognat				beveradb-1000
estar a punt de + inf.	estar a punto de + inf.	as-TÁ a PUNT da	to be about to	frase	cognat		missing preposition 'a'		beveradb-1000
estar d'acord	estar de acuerdo	as-TÁ da-CORT	to agree	frase	cognat				beveradb-1000
estar marejat / marejada	estar mareado / mareada	as-TÁ ma-ra-ZHAT / ma-ra-ZHA-da	to feel sick	frase	cognat				beveradb-1000
estar refredat / refredada	estar resfriado / resfriada	as-TÁ rra-fra-DAT / rra-fra-DA-da	to have a cold	frase					beveradb-1000
Estats Units d'Amèrica	los Estados Unidos de América		United States of America	frase	cognat				beveradb-1000
estatunidenc / estatunidenca	el estadounidense / la estadounidense		US (adj.), US citizen	mot	cognat				beveradb-1000
estimar-se més	preferir	as-ti-MÁ-sa MES	to prefer	frase	fals				beveradb-1000
estudiar	estudiar	as-tu-di-Á	study	mot	cognat				beveradb-1000
està bé	está bien		it's ok	frase	cognat				beveradb-1000
està casada	está casada	as-TÁ ca-ZA-da	she is married	frase	cognat				beveradb-1000
està cobert	está cubierto	as-TÁ cu-BERT	it's overcast	frase					beveradb-1000
està d'oferta	está de oferta		it's on sale	frase	cognat				beveradb-1000
està ennuvolat	está nublado	as-TÁ an-nu-bu-LAT	it's cloudy	frase			wrong word, 'núvol' is a noun		beveradb-1000
et	te	at	to you (inf. s.)	mot					beveradb-1000
et presento	te presento a	at pra-ZEN-tu	this is (name)	frase					beveradb-1000
euro	el euro	EU-ru	euro	mot	cognat				beveradb-1000
fa calor	hace calor	fa ca-LÓ	it's hot	frase					beveradb-1000
fa fred	hace frío	fa FRET	it's cold	frase					beveradb-1000
fa fresc	hace fresco		it's cool	frase	cognat				beveradb-1000
fa molt de temps	hace mucho tiempo	fa MOL da TEMS	a long time ago	frase					beveradb-1000
fa sol	hace sol		it's sunny	frase	cognat				beveradb-1000
fa vent	hace viento	fa BEN	it's windy	frase					beveradb-1000
fart / farta	harto / harta		tired of	mot	cognat				beveradb-1000
fat / fada	soso / sosa		tasteless	mot	fals				beveradb-1000
fa...	hace...		...ago	frase					beveradb-1000
febrer	febrero	fa-BRÉ	February	mot	cognat				beveradb-1000
felicitats	felicidades		congratulations	mot	cognat				beveradb-1000
fer anys	cumplir años		to have a birthday	frase					beveradb-1000
fer bondat	portarse bien		to behave oneself	frase					beveradb-1000
fer calor	hacer calor	fe-ca-LÓ	to be hot weather	frase	cognat				beveradb-1000
fer esport	hacer deporte		to do sports	frase	cognat				beveradb-1000
fer mal	hacer daño / doler		to hurt	frase	cognat				beveradb-1000
fer mal temps	hacer mal tiempo		to be bad weather	frase	cognat				beveradb-1000
fer por	dar miedo	fe-PÓ	to frighten	frase					beveradb-1000
fer-s'ho	apañárselas	FER-su	to manage	frase			missing hyphen in pronominal combination		beveradb-1000
fer sol	hacer sol		to be sunny	frase	cognat				beveradb-1000
fer un cop d'ull	echar un vistazo		to have a look	frase					beveradb-1000
ferit / ferida	herido / herida		injured	mot	cognat		normalised m/f pair		beveradb-1000
fet / feta	hecho / hecha		cooked	mot			normalised m/f pair		beveradb-1000
fins a	hasta		until	frase					beveradb-1000
fins després	hasta luego		see you later	frase					beveradb-1000
fins i tot	incluso		even	frase			conjunction 'i' should be lowercase		beveradb-1000
fora	fuera		outside	mot	cognat				beveradb-1000
fort / forta	fuerte		strong	mot	cognat		normalised m/f pair		beveradb-1000
força	bastante / mucho	FOR-sa	quite a lot	mot	fals				beveradb-1000
fosc / fosca	oscuro / oscura	FUSC / FOS-ca	dark	mot			normalised m/f pair		beveradb-1000
fotut / fotuda	jodido / jodida	fu-TUT / fu-TU-da	screwed up	mot			normalised m/f pair		beveradb-1000
francès / francesa	francés / francesa	fran-SÉS / fran-SE-za	French	mot	cognat		normalised m/f pair		beveradb-1000
fregir	freír	fra-ZHÍ	to fry	mot	cognat				beveradb-1000
fumador o no fumador?	¿fumador o no fumador?		smoking or non-smoking?	frase	cognat				beveradb-1000
gener	enero	zha-NÉ	January	mot					beveradb-1000
gens	nada (de)	ZHENS	(not) any	mot					beveradb-1000
girar	girar	zhi-RÁ	to turn	mot	cognat				beveradb-1000
gran	grande / mayor		big, large, elder	mot	cognat				beveradb-1000
gras / grassa	gordo / gorda		fat	mot	cognat		normalised m/f pair		beveradb-1000
greu	grave		serious	mot	cognat				beveradb-1000
gris / grisa	gris	GRIS / GRI-za	grey	mot	cognat		normalised m/f pair		beveradb-1000
groc / groga	amarillo / amarilla		yellow	mot			normalised m/f pair		beveradb-1000
gros / grossa	gordo / gorda / grande	GROS / GRO-sa	big	mot	fals		normalised m/f pair		beveradb-1000
hauries de + inf.	deberías + inf.	au-RI-as da	you should	frase					beveradb-1000
haver de + inf.	tener que + inf. / deber + inf.		must	frase					beveradb-1000
hi	allí / ahí		there	mot					beveradb-1000
hi ha	hay		there is	frase					beveradb-1000
hi ha boira	hay niebla	i-a-BOY-ra	it's foggy	frase					beveradb-1000
hi ha habitacions lliures?	¿Hay habitaciones libres?		are there any free rooms?	frase					beveradb-1000
hi ha tempesta	Hay tormenta		it's stormy	frase					beveradb-1000
ho pots lletrejar?	¿Lo puedes deletrear?	lla-tra-ZHÁ	can you spell it?	frase					beveradb-1000
ho sento	Lo siento		I am sorry	frase	cognat				beveradb-1000
hola	hola		hello	mot	cognat				beveradb-1000
horari intensiu	el horario intensivo		long open hours	frase	cognat				beveradb-1000
i	y		and	mot					beveradb-1000
i tu?	¿Y tú?		and you?	frase	cognat				beveradb-1000
igualment	igualmente		likewise	mot	cognat				beveradb-1000
il·limitat / il·limitada	ilimitado / ilimitada		unlimited	mot	cognat				beveradb-1000
immediatament	inmediatamente		immediately	mot	cognat				beveradb-1000
imprescindible	imprescindible		essential	mot	cognat				beveradb-1000
en	en		in	mot			misspelling		beveradb-1000
inclòs / inclosa	incluido / incluida		included	mot					beveradb-1000
independitzar-se	independizarse	in-da-pan-did-ZAR-sa	to become independent	mot	cognat				beveradb-1000
infermer infermera	el enfermero / la enfermera		nurse	mot		l'infermer / la infermera			beveradb-1000
ingressar	ingresar	in-gra-SÁ	to enter, to admit to a hospital, to deposit money	mot	cognat				beveradb-1000
intel·ligent	inteligente	in-tel-li-ZHEN	intelligent	mot	cognat				beveradb-1000
interessant	interesante		interesting	mot	cognat				beveradb-1000
irlandès	irlandés		Irish	mot	cognat				beveradb-1000
italià	italiano		Italian	mot					beveradb-1000
ja	ya	ZHA	already	mot					beveradb-1000
ja estic	ya estoy / ya he acabado		i've finished with it	frase					beveradb-1000
ja ho pots ben dir	y que lo digas		you can say that again	frase					beveradb-1000
ja n'hi ha prou	ya basta		that's enough	frase					beveradb-1000
ja no	ya no	ZHA-no	no longer	frase					beveradb-1000
japonès	japonés	zha-pu-NÈS	Japanese	mot					beveradb-1000
jo de tu	yo que tú / si yo fuera tú	ZHO-da-tu	if I were you	frase					beveradb-1000
jugar	jugar	zhu-GÁ	to play	mot	cognat				beveradb-1000
juliol	julio	zhu-li-OL	July	mot					beveradb-1000
juny	junio	ZHUNY	June	mot					beveradb-1000
justament	justamente	zhus-ta-MÉN	as it happens	mot	cognat				beveradb-1000
l'aigua (f)	el agua		water	mot	fals	l'aigua		optional-part	beveradb-1000
l'aigua sense gas (f)	el agua sin gas		still water	frase		l'aigua sense gas		optional-part	beveradb-1000
l'aire condicionat (m)	el aire acondicionado		air-conditioning	frase	cognat	l'aire condicionat		optional-part	beveradb-1000
l'alimentació	la alimentación		food	mot	cognat				beveradb-1000
l'amanida	la ensalada		salad	mot					beveradb-1000
l'ampolla	la botella	am-PU-lla	bottle	mot					beveradb-1000
l'anada	la ida		outward journey	mot					beveradb-1000
l'antiquari	el anticuario		antique dealer	mot	cognat				beveradb-1000
l'anunci	el anuncio		advertisement	mot	cognat				beveradb-1000
l'any entrant	el año que viene / el año entrante	AÑ an-TRÁN	next year	frase	cognat				beveradb-1000
l'aquarel·la	la acuarela	a-cua-REL-LA	watercolor	mot	cognat				beveradb-1000
l'armari	el armario		wardrobe	mot	cognat				beveradb-1000
l'arribada	la llegada		arrival	mot					beveradb-1000
l'arròs	el arroz		risotto	mot	cognat				beveradb-1000
l'ascensor	el ascensor	as-sen-SÓ	elevator	mot	cognat				beveradb-1000
l'autobús (m)	el autobús		bus	mot	cognat	l'autobús	removed gender marker	optional-part	beveradb-1000
l'autobús és més barat que el metro.	el autobús es más barato que el metro.		the bus is cheaper than the metro.	frase			misspelling: qie -> que		beveradb-1000
l'autocar	el autocar	au-tu-CÁ	bus	mot	cognat				beveradb-1000
l'autovia	la autovía	au-tu-VI-a	highway	mot	cognat				beveradb-1000
l'avi	el abuelo		grandfather	mot					beveradb-1000
l'avió (m)	el avión		plane	mot	cognat	l'avió	removed gender marker	optional-part	beveradb-1000
l'edifici (m)	el edificio	a-di-FI-si	building	mot	cognat	l'edifici	removed gender marker	optional-part	beveradb-1000
l'empleat / l'empleada	el empleado / la empleada	am-pla-AT / am-pla-A-da	employee	mot	cognat		normalised m/f pair		beveradb-1000
l'entrada	la entrada		entrance	mot	cognat				beveradb-1000
l'equipatge	el equipaje	a-qui-PAD-zha	luggage	mot	cognat				beveradb-1000
l'escala	la escalera		stairs	mot	cognat				beveradb-1000
l'escenari	el escenario		stage	mot	cognat				beveradb-1000
l'església	la iglesia	az-GLÉ-zi-a	church	mot					beveradb-1000
l'esmorzar (m)	el desayuno	az-mur-ZÁ	breakfast	mot		l'esmorzar	removed gender marker	optional-part	beveradb-1000
l'espera	la espera		wait	mot	cognat				beveradb-1000
l'esquena	la espalda		back	mot					beveradb-1000
l'esquerra	la izquierda		left (side)	mot					beveradb-1000
l'estalvi	el ahorro		saving	mot					beveradb-1000
l'estanc (m)	el estanco		newsstand	mot	cognat	l'estanc	removed gender marker	optional-part	beveradb-1000
l'estiu	el verano		summer	mot					beveradb-1000
l'estona	el rato	as-TU-na	short time	mot					beveradb-1000
l'experiència	la experiencia		experience	mot	cognat				beveradb-1000
l'exposició	la exposición	eks-pu-zi-SI-ó	exhibition	mot	cognat				beveradb-1000
l'habitació	la habitación		bedroom	mot	cognat				beveradb-1000
l'hivern	el invierno		winter	mot	cognat				beveradb-1000
l'home	el hombre	U-ma	man	mot	cognat				beveradb-1000
l'home del temps	el hombre del tiempo		weather man	frase	cognat				beveradb-1000
l'hotel	el hotel	u-TEL	hotel	mot	cognat				beveradb-1000
l'incendi	el incendio		fire	mot	cognat				beveradb-1000
l'obra	la obra	U-bra	work	mot	cognat				beveradb-1000
l'oli d'oliva (m)	el aceite de oliva	U-li du-LI-va	olive oil	frase		l'oli d'oliva	removed gender marker	optional-part	beveradb-1000
l'oncle	el tío	UN-cla	uncle	mot					beveradb-1000
l'opció	la opción		option	mot	cognat				beveradb-1000
l'orella	la oreja	u-RÉ-lla	ear	mot	cognat				beveradb-1000
l'ull	el ojo		eye	mot					beveradb-1000
l'ànec	el pato		duck	mot					beveradb-1000
l'àvia	la abuela		grandmother	mot					beveradb-1000
l'èxit	el éxito	ÈG-zit	success	mot	cognat				beveradb-1000
la badia	la bahía		bay	mot	cognat				beveradb-1000
la bestiesa	la tontería / la estupidez	bas-TI-E-za	stupid thing	mot					beveradb-1000
la biblioteca	la biblioteca	bib-li-u-TÉ-ca	library	mot	cognat				beveradb-1000
la boca	la boca	BU-ca	mouth	mot	cognat				beveradb-1000
la bossa	la bolsa / el bolso		bag	mot	cognat				beveradb-1000
la botifarra	la butifarra	bu-ti-FA-rra	pork sausage	mot	cognat				beveradb-1000
la butaca	la butaca		armchair	mot	cognat				beveradb-1000
la bústia	el buzón		mailbox	mot					beveradb-1000
la calaixera	la cajonera / la cómoda	ca-la-SHÉ-ra	chest of drawers	mot					beveradb-1000
la calamarsa	el granizo		hail	mot					beveradb-1000
la calefacció	la calefacción	ca-la-fac-si-Ó	heating	mot	cognat				beveradb-1000
la cama	la pierna		leg	mot	fals				beveradb-1000
la cantonada	la esquina	can-tu-NA-da	corner	mot					beveradb-1000
la carn	la carne		meat	mot	cognat				beveradb-1000
la carrera	la carrera	ca-RRÉ-ra	career, race	mot	cognat				beveradb-1000
la cercavila	el pasacalles	sar-ca-VI-la	street serenading	mot			misspelling, cercavila is with v		beveradb-1000
la cervesa	la cerveza	sar-VÉ-za	beer	mot	cognat				beveradb-1000
la cintura	la cintura		waist	mot	cognat				beveradb-1000
la classe de francès	la clase de francés	la CLÁ-sa da fran-SÉS	french class	frase	cognat				beveradb-1000
la clau	la llave		key	mot					beveradb-1000
la comissaria de policia	la comisaría de policía	cu-mi-za-RÍ-a da pu-li-SÍ-a	police station	frase	cognat	la comisaria de policia	misspelling, comisaria is with one s		beveradb-1000
la consulta	la consulta	cun-SUL-ta	surgery	mot	cognat				beveradb-1000
la crema	la crema		cream	mot	cognat				beveradb-1000
la crema catalana	la crema catalana		crème brulée	frase	cognat				beveradb-1000
la cuina	la cocina		kitchen	mot					beveradb-1000
la cullera	la cuchara	cu-LLÉ-ra	spoon	mot					beveradb-1000
la demanda	la demanda / la solicitud	da-MAN-da	request demand	mot	cognat				beveradb-1000
la direcció prohibida	la dirección prohibida	di-rac-si-Ó pru-i-BI-da	one-way traffic	frase	cognat				beveradb-1000
la dona	la mujer	DO-na	woman	mot					beveradb-1000
la dreta	la derecha	DRÉ-ta	right (side)	mot					beveradb-1000
la dutxa	la ducha		shower	mot	cognat				beveradb-1000
la facultat	la facultad	fa-cul-TAT	faculty	mot	cognat				beveradb-1000
la farina	la harina		flour	mot	cognat				beveradb-1000
la farmàcia	la farmacia		pharmacy	mot	cognat				beveradb-1000
la feina	el trabajo		work	mot					beveradb-1000
la festa d'aniversari	la fiesta de cumpleaños		birthday party	frase					beveradb-1000
la filial	la filial		subsidiary	mot	cognat				beveradb-1000
la filla	la hija		daughter	mot					beveradb-1000
la finestra	la ventana		window	mot					beveradb-1000
la fonda	la fonda		inn	mot	cognat				beveradb-1000
la forquilla	el tenedor	fur-QUI-lla	fork	mot	fals				beveradb-1000
la gasolina sense plom	la gasolina sin plomo	ga-zu-LI-na SEN-sa	unleaded	frase					beveradb-1000
la germana	la hermana	zhar-MA-na	sister	mot					beveradb-1000
la grip	la gripe		the flu	mot	cognat				beveradb-1000
la inauguració	la inauguración		opening	mot	cognat				beveradb-1000
la indicació	la indicación		sign	mot	cognat				beveradb-1000
la infusió	la infusión	in-fu-zi-Ó	infusion, herbal tea	mot	cognat				beveradb-1000
la infància	la infancia		childhood	mot	cognat				beveradb-1000
la llauna	la lata		tin	mot					beveradb-1000
la llimona	el limón	lli-MU-na	lemon	mot	fals				beveradb-1000
la llàstima	la lástima		pity	mot	cognat				beveradb-1000
la maduixa	la fresa	ma-DUI-sha	strawberry	mot					beveradb-1000
la majoria	la mayoría	ma-zhu-RI-a	majority	mot	cognat				beveradb-1000
la marca	la marca		trademark, brand	mot	cognat				beveradb-1000
la matinada	la madrugada		early morning	mot					beveradb-1000
la mel	la miel		honey	mot					beveradb-1000
la melmelada	la mermelada		marmalade	mot	cognat				beveradb-1000
la meva adreça és	mi dirección es…	ME-va a-DRE-sa	my address is…	frase					beveradb-1000
la meva casa és menys cara que la seva.	mi casa es menos cara que la suya.		my house is less expensive than theirs.	frase					beveradb-1000
la mà	la mano		hand	mot	cognat				beveradb-1000
la nata	la nata		cream	mot	cognat				beveradb-1000
la neu	la nieve		snow	mot					beveradb-1000
la nit	la noche		night	mot					beveradb-1000
la paella	la paella		paella	mot	cognat				beveradb-1000
la parada	la parada		bus stop	mot	cognat				beveradb-1000
la paret	la pared	pa-RET	wall	mot					beveradb-1000
la part	la parte	PART	side, part	mot	cognat				beveradb-1000
la pasta	la pasta		pasta	mot	cognat				beveradb-1000
la pastilla	la pastilla		tablet, pill	mot	cognat				beveradb-1000
la pau	la paz		peace	mot					beveradb-1000
la pell	la piel		skin, leather	mot					beveradb-1000
la pensió	la pensión		guest house	mot	cognat				beveradb-1000
la pera	la pera	PE-ra	pear	mot	cognat				beveradb-1000
la pintura	la pintura		painting	mot	cognat				beveradb-1000
la pinya	la piña		pineapple	mot					beveradb-1000
la piscina	la piscina		swimming pool	mot	cognat				beveradb-1000
la pista de tennis	la pista de tenis		tennis court	frase	cognat				beveradb-1000
la pistola	la pistola		gun	mot	cognat				beveradb-1000
la platja	la playa	PLAD-zha	beach	mot					beveradb-1000
la plaça	la plaza / el puesto	PLA-sa	position	mot					beveradb-1000
la pluja	la lluvia	PLU-zha	rain	mot					beveradb-1000
la postal	la postal		postcard	mot	cognat				beveradb-1000
la primavera	la primavera		springtime	mot	cognat				beveradb-1000
la química	la química		chemistry	mot	cognat				beveradb-1000
la recepció	la recepción	ra-sep-si-Ó	reception	mot	cognat				beveradb-1000
la renovació	la renovación	ra-nu-va-si-Ó	renewal	mot	cognat				beveradb-1000
la rotonda	la rotonda	ru-TUN-da	traffic circle	mot	cognat				beveradb-1000
la sala d'estar	la sala de estar / el salón		living room	frase	cognat				beveradb-1000
la setmana passada	la semana pasada	la sat-MA-na pa-SA-da	last week	frase	cognat				beveradb-1000
la setmana que ve	la semana que viene	la sat-MA-na ka BÉ	next week	frase					beveradb-1000
la sopa	la sopa		soup	mot	cognat				beveradb-1000
la sortida	la salida		departure	mot					beveradb-1000
la talla	la talla		size	mot	cognat				beveradb-1000
la tarda	la tarde		afternoon	mot					beveradb-1000
la tardor	el otoño	la tar-DÓ	autumn	mot	fals				beveradb-1000
la targeta	la tarjeta	tar-ZHE-ta	card	mot	cognat				beveradb-1000
la tarifa	la tarifa		tariff	mot	cognat				beveradb-1000
la taronja	la naranja	ta-RON-zha	orange (fruit/color)	mot					beveradb-1000
la tauleta de nit	la mesita de noche		bedside table	frase			missing 'de nit' for this sense		beveradb-1000
la tempesta	la tormenta / la tempestad		storm	mot	cognat				beveradb-1000
la temporada	la temporada		season	mot	cognat				beveradb-1000
la terrassa	la terraza	ta-RRA-sa	terrace	mot	cognat				beveradb-1000
la tonyina	el atún	tu-ÑI-na	tuna	mot	fals				beveradb-1000
la tornada	la vuelta	tur-NA-da	return journey	mot					beveradb-1000
la tovallola	la toalla	tu-va-LLO-la	towel	mot					beveradb-1000
la transferència	la transferencia		(bank) transfer	mot	cognat				beveradb-1000
la truita	la tortilla		omelette	mot	fals				beveradb-1000
la universitat	la universidad	u-ni-bar-si-TAT	university	mot	cognat				beveradb-1000
la vaca	la vaca		cow	mot	cognat				beveradb-1000
la venda	la venta		sales	mot	cognat				beveradb-1000
la veritat	la verdad	ba-ri-TAT	truth	mot	cognat				beveradb-1000
la vista al mar	la vista al mar		ocean view	frase	cognat				beveradb-1000
laborable	laborable	la-bu-RA-bla	working	mot	cognat				beveradb-1000
el lampista / la lampista	el fontanero / la fontanera		plumber	mot					beveradb-1000
els cargols	los caracoles		escargot, snail	mot			wrong article, cargol is masculine		beveradb-1000
les mongetes	las judías / las alubias	las mun-ZHE-tas	beans	mot					beveradb-1000
les postres	el postre		dessert	mot	fals				beveradb-1000
les ulleres	las gafas		glasses	mot					beveradb-1000
li	le		to him/her/you	mot	cognat				beveradb-1000
llest / llesta	listo / lista		clever, bright	mot	cognat		misspelling		beveradb-1000
llarg / llarga	largo / larga		large	mot	cognat				beveradb-1000
llegir	leer	lla-ZHÍ	to read	mot					beveradb-1000
llegir un llibre	leer un libro	lla-ZHÍ un YI-bra	to read a book	frase			misspelling, llibre not llebre		beveradb-1000
llevar-se	levantarse	lla-VÁ-sa	to wake up	mot	fals				beveradb-1000
llicenciat llicenciada	el licenciado / la licenciada		graduate	mot	cognat	el llicenciat / la llicenciada			beveradb-1000
lliure	libre	YIU-ra	free	mot	cognat				beveradb-1000
llogar	alquilar	llu-GÁ	to rent	mot					beveradb-1000
lluny	lejos	YUNY	far	mot					beveradb-1000
Londres	Londres	LON-dras	London	mot	cognat				beveradb-1000
m'acompanyes?	¿me acompañas?	ma-cum-PA-ñes	will you come with me?	frase	cognat				beveradb-1000
m'és igual	me da igual	mé-zi-GUAL	I don't care	frase					beveradb-1000
maco / maca	guapo / guapa / majo / maja		attractive. nice	mot					beveradb-1000
madur / madura	maduro / madura		ripe	mot	cognat				beveradb-1000
mai	nunca / jamás		never	mot					beveradb-1000
maig	mayo	MACH	May	mot					beveradb-1000
malament	mal	ma-la-MÉN	badly	mot					beveradb-1000
maquillar-se	maquillarse	ma-qui-YÁ-sa	to put on make-up	mot	cognat				beveradb-1000
marró	marrón	ma-RÓ	brown	mot	cognat				beveradb-1000
març	marzo	MARS	March	mot					beveradb-1000
massa	demasiado	MA-sa	too much	mot					beveradb-1000
mateix / mateixa	mismo / misma	ma-TEYSH / ma-TEY-sha	same	mot					beveradb-1000
menjar	comer	man-ZHÁ	to eat	mot					beveradb-1000
mestre mestra	el maestro / la maestra		teacher	mot	cognat	el mestre / la mestra			beveradb-1000
metge metgessa	el médico / la médica	MED-zha / mad-ZHE-sa	doctor	mot		el metge / la metgessa			beveradb-1000
mig / mitja	medio / media	MICH / MID-zha	half	mot	cognat				beveradb-1000
mil / milè	mil / milésimo		1000 thousandth	mot	cognat				beveradb-1000
milió / milionè	millón / millonésimo		1000000 millionth	mot	cognat				beveradb-1000
millor	mejor	mi-YÓ	better best	mot	cognat				beveradb-1000
mirar	mirar	mi-RÁ	to look at	mot	cognat				beveradb-1000
mirar la televisió	ver la televisión	mi-RÁ la ta-la-vi-zi-Ó	to watch television	frase	fals				beveradb-1000
molt	muy / mucho	MOL	very	mot					beveradb-1000
molt de gust	mucho gusto	MOL da GUST	nice to meet you	frase	cognat				beveradb-1000
muntar	montar / armar	mun-TÁ	to assemble	mot	cognat				beveradb-1000
més aviat	más bien	mé-za-vi-AT	tending to be	frase					beveradb-1000
n'hi ha una	hay una	ni-A U-na	there is one	frase					beveradb-1000
nebot neboda	el sobrino / la sobrina	na-BOT / na-BO-da	nephew, niece	mot	fals	el nebot / la neboda	added articles		beveradb-1000
necessari	necesario	na-sa-SA-ri	necessary	mot	cognat				beveradb-1000
necessito	necesito	na-sa-SI-tu	I need	mot	cognat				beveradb-1000
nedar	nadar	na-DÁ	to swim	mot	fals				beveradb-1000
negre / negra	negro / negra		black	mot	cognat				beveradb-1000
netejar la casa	limpiar la casa	na-ta-ZHAR la CA-za	to clean the house	frase					beveradb-1000
neva	nieva		it's snowing	mot	cognat				beveradb-1000
ningú	nadie		nobody no one	mot					beveradb-1000
no fumador	no fumador	fu-ma-DÓ	non-smoking	frase	cognat				beveradb-1000
no hi fa res	no importa / da igual		it doesn't matter	frase					beveradb-1000
no ho sé	no lo sé	no u SÉ	I don't know	frase					beveradb-1000
no m'agrada	no me gusta		I don't like it	frase	cognat				beveradb-1000
no oblideu	no olvidéis / no olviden	u-bli-DÉU	don't forget	frase	cognat				beveradb-1000
no prenguis	no tomes		don't ask	frase	fals				beveradb-1000
no... ni	ni... ni		neither… nor	frase	cognat				beveradb-1000
només	solo / solamente	nu-MÉS	only	mot					beveradb-1000
noranta / norantè	noventa / nonagésimo	nu-RAN-ta / nu-ran-TÈ	90 ninetieth	mot			misspelling of ordinal		beveradb-1000
Normalment em llevo a les set.	Normalmente me levanto a las siete.	nur-mal-MEN am LLE-vu a las SET	I normally get up at seven.	frase	cognat		misspelling and punctuation		beveradb-1000
normalment	normalmente	nur-mal-MEN	normally	mot	cognat				beveradb-1000
nosaltres	nosotros / nosotras	nu-ZAL-tras	we	mot					beveradb-1000
nou / novè / novena	nueve / noveno novena	no-VÈ / no-VE-na	9 ninth	mot	fals		standard m/f formatting		beveradb-1000
Nova York	Nueva York		New York	mot	cognat				beveradb-1000
novembre	noviembre	nu-VEM-bra	November	mot	cognat				beveradb-1000
no... gaire	no... mucho	GAI-ra	not very much	frase					beveradb-1000
no... gens	no... nada	ZHENS	not at all	frase					beveradb-1000
no... gens ni mica	nada de nada / ni un ápice	ZHENS ni MI-ca	not one tiny bit	frase					beveradb-1000
néixer	nacer	NÉ-sha	to be born	mot			misspelling		beveradb-1000
o sigui	o sea		that is	frase	cognat				beveradb-1000
obert / oberta	abierto / abierta	u-BERT / u-BER-ta	open	mot	fals				beveradb-1000
obligatori	obligatorio	u-bli-ga-TO-ri	obligatory	mot	cognat				beveradb-1000
obren	abren	O-bran	they open	mot					beveradb-1000
octubre	octubre	uc-TU-bra	October	mot	cognat				beveradb-1000
ocupat / ocupada	ocupado / ocupada	u-cu-PAT / u-cu-PA-da	busy	mot	cognat				beveradb-1000
Oh, i tant!	¡y tanto! / ¡claro que sí!		of course!	frase			punctuation and capitalization		beveradb-1000
oi?	¿verdad? / ¿no?		right?	frase					beveradb-1000
on	dónde		where	mot	cognat				beveradb-1000
On vius? / On viu?	¿dónde vives? / ¿dónde vive?		where do you live?	frase			punctuation and formatting		beveradb-1000
On és?	¿dónde está?		where is	frase			punctuation and capitalization		beveradb-1000
onze	once	ON-za	eleven	mot	cognat				beveradb-1000
